"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.081981160E-1,2.007000208E0,6.234000206E0,1.073595047E1,1.257582764E1
7.106680790E-1,2.044950008E0,6.234000206E0,1.014195061E1,1.207906210E1
7.131380400E-1,2.044950008E0,6.273000240E0,9.547950745E0,1.160584835E1
7.156057110E-1,2.083050013E0,6.273000240E0,8.935050011E0,1.111416880E1
7.180734060E-1,2.064000130E0,6.310950279E0,8.359950066E0,1.067599902E1
7.205409440E-1,2.083050013E0,6.310950279E0,7.728000164E0,1.019260405E1
7.230084830E-1,2.044950008E0,6.349050522E0,7.173000336E0,9.795110866E0
7.254752900E-1,2.026050091E0,6.367950439E0,6.598050117E0,9.390949746E0
7.279420970E-1,1.948950052E0,6.426000118E0,6.579000473E0,9.400804809E0
7.304093240E-1,1.356000066E0,7.000050545E0,5.716950417E0,9.139089992E0
7.328765550E-1,1.336050034E0,7.039050102E0,5.716950417E0,9.166066665E0
7.353445540E-1,1.317000031E0,7.077000141E0,5.640000343E0,9.144835917E0
7.378125550E-1,1.297950029E0,7.786050320E0,5.065950394E0,9.379291404E0
7.402790140E-1,1.317000031E0,7.786050320E0,5.047050476E0,9.371754754E0
7.427454770E-1,1.279050112E0,7.843050480E0,5.047050476E0,9.413932681E0
7.452102270E-1,1.297950029E0,8.455950737E0,5.008050442E0,9.913039210E0
7.476749960E-1,1.279050112E0,8.494050026E0,5.028000355E0,9.953172489E0
7.501422290E-1,1.297950029E0,8.494050026E0,5.008050442E0,9.945558272E0
7.526094580E-1,1.279050112E0,8.513999939E0,5.008050442E0,9.960157297E0
7.550763420E-1,1.297950029E0,8.494050026E0,4.969950199E0,9.926427610E0
7.575432270E-1,1.279050112E0,8.494050026E0,4.969950199E0,9.923974003E0
7.600095070E-1,1.297950029E0,8.437050819E0,4.932000160E0,9.858657433E0
7.624758140E-1,1.279050112E0,7.747050285E0,4.932000160E0,9.272398983E0
7.649448920E-1,1.279050112E0,7.690050602E0,4.893000126E0,9.204037032E0
7.674139670E-1,1.240950108E0,7.039050102E0,4.893000126E0,8.661964774E0
7.698795040E-1,1.240950108E0,6.981000423E0,4.855050087E0,8.593359962E0
7.723450450E-1,1.201950073E0,6.292050362E0,4.873950005E0,8.049221725E0
7.748124790E-1,1.201950073E0,6.234000206E0,4.855050087E0,7.992431038E0
7.772799000E-1,1.144950032E0,5.640000343E0,4.912950039E0,7.566874687E0
7.797481700E-1,1.126049995E0,5.602050304E0,4.951050282E0,7.560678217E0
7.822164390E-1,1.068000078E0,5.563950062E0,5.679000378E0,8.021795918E0
7.846847850E-1,1.048950076E0,4.932000160E0,5.698050499E0,7.608725342E0
7.871531320E-1,9.730500579E-1,4.932000160E0,6.426000118E0,8.158733328E0
7.896195620E-1,4.360500276E-1,4.893000126E0,6.445050240E0,8.103719050E0
7.920860250E-1,4.170000255E-1,4.893000126E0,7.192050457E0,8.708669762E0
7.945535260E-1,4.750500321E-1,4.855050087E0,7.210950375E0,8.706031770E0
7.970210250E-1,4.750500321E-1,4.855050087E0,7.957950592E0,9.334139570E0
7.994884480E-1,1.048950076E0,4.798050404E0,7.957950592E0,9.351500498E0
8.019558730E-1,1.030050039E0,4.779000282E0,8.016000748E0,9.389148778E0
8.044244840E-1,1.087050080E0,4.702050209E0,8.035050392E0,9.372992524E0
8.068930990E-1,1.087050080E0,4.146000385E0,8.072999954E0,9.140258494E0
8.093622910E-1,1.126049995E0,4.108050346E0,8.053950310E0,9.110992363E0
8.118314840E-1,1.126049995E0,4.069950104E0,8.053950310E0,9.093876953E0
8.142994820E-1,1.164000034E0,3.361050129E0,7.977000237E0,8.734076186E0
8.167674830E-1,1.144950032E0,3.361050129E0,7.363950253E0,8.175287877E0
8.192343720E-1,1.164000034E0,2.785950184E0,7.326000214E0,7.923805502E0
